"date,player_id,grade,position,note"
"2025-04-01,P01,1,投手,【練習初日】今日から新年度の練習が始まった。藤井監督から「基本を大事にしろ」というお話があった。塚本コーチが教えてくれた新しいフォームを忘れないように、ノートに細かくメモしておこう。先輩たちみたいにうまくなりたい。"
"2025-04-01,P02,1,外野手,【練習初日】今日から本格的に練習スタート！声出しで気合を入れた。大輔コーチが「元気があっていいな！」と褒めてくれて嬉しかった。まずはレギュラー争いに食い込めるように、明日も全力でアピールするぞ。"
"2025-04-01,P03,1,捕手,【練習初日】新チームでの練習初日。キャッチャーとして投手の球をしっかり受け止めないといけない。去年のサインミスを思い出して少し不安になったけど、今年は絶対にチームを引っ張るんだという気持ちで頑張る。"
"2025-04-01,P04,1,内野手,【練習初日】2年の先輩たちの動きがやっぱりすごい。でも絶対に負けたくない。特に同じポジションの先輩には絶対勝つ。監督は努力を見てくれているはずだ。誰よりもバットを振って、試合に出る。"
"2025-04-01,P05,1,一塁手,【練習初日】新しい環境での練習はまだ少し緊張する。都会の練習はペースが速いなと感じた。まずは自分のペースで、着実に練習をこなしていこうと思う。一日一歩、着実に進んでいきたい。"
"2025-04-01,P06,1,三塁手,【練習初日】塚本コーチの指導は本当に理論的で分かりやすい。「手首の角度が5度違うだけで打球は変わる」という言葉が印象的だった。自分のフォームを動画で撮って分析してみよう。ノートが技術メモでいっぱいになりそうだ。"
"2025-04-01,P07,1,外野手,【練習初日】新シーズン開始！3年生の先輩たちにも物怖じせず、元気にやっていきたい。ムードメーカーとしてチームを盛り上げるのが自分の役目だと思っている。練習からどんどん声を出していく。"
"2025-04-01,P08,1,投手,【練習初日】ピッチング練習。監督に「大胆なのはいいが、もっとコースを意識しろ」と怒られた。でも、思いっきり投げるのは気持ちいい。四球を出さないように、次は修正したい。伸びしろしかないはずだ。"
"2025-04-01,P09,2,捕手,【練習初日】主将候補として、新1年生たちに積極的に声をかけるようにした。みんな緊張しているみたいだったから、少しでも和らげたらいいな。監督からも「チームをよく見てくれているな」と声をかけてもらった。信頼に応えたい。"
"2025-04-01,P10,2,外野手,【練習初日】周りのレベルの高さに少し圧倒された。家に帰ってからも、今日の練習での反省点や家族のことをノートに書いた。自分のペースで、少しずつでも成長していきたい。"
"2025-04-01,P11,2,投手,【練習初日】久しぶりの全体練習だったけど、体はそこそこ動いた。試合で結果を出せばいいと思っているので、練習はあまり無理しないスタイル。でも、最低限のことはやらないと。"
